NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""MAÇÃ""",97,"68.471.611,34",109,"72.432.468,34",225,"107.401.485,64",281,"162.859.786,68"
SUL,RS,"""AVEIA""",10,"2.940.862,00",109,"72.432.468,34",225,"107.401.485,64",281,"162.859.786,68"
SUL,RS,"""ALHO""",2,"1.019.995,00",109,"72.432.468,34",225,"107.401.485,64",281,"162.859.786,68"
SUL,SC,"""MAÇÃ""",102,"32.291.517,30",113,"34.390.517,30",225,"107.401.485,64",281,"162.859.786,68"
SUL,SC,"""ALHO""",11,"2.099.000,00",113,"34.390.517,30",225,"107.401.485,64",281,"162.859.786,68"
SUL,PR,"""MAÇÃ""",3,"578.500,00",3,"578.500,00",225,"107.401.485,64",281,"162.859.786,68"
CENTRO-OESTE,GO,"""ALHO""",11,"33.160.729,84",11,"33.160.729,84",13,"37.760.729,84",281,"162.859.786,68"
CENTRO-OESTE,MT,"""MILHO""",1,"2.300.000,00",1,"2.300.000,00",13,"37.760.729,84",281,"162.859.786,68"
CENTRO-OESTE,DF,"""MAÇÃ""",1,"2.300.000,00",1,"2.300.000,00",13,"37.760.729,84",281,"162.859.786,68"
SUDESTE,SP,"""AMENDOIM""",43,"17.697.571,20",43,"17.697.571,20",43,"17.697.571,20",281,"162.859.786,68"

