NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""ARROZ""",1.637,"640.920.261,96",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""SOJA""",801,"343.017.679,32",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""TRIGO""",815,"217.019.410,42",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""MILHO""",109,"34.229.769,64",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""UVA""",12,"13.508.173,00",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""AVEIA""",49,"9.739.605,66",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""ALHO""",3,"1.430.000,00",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""FEIJÃO""",3,"813.972,00",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""CANOLA""",3,"584.447,04",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""GIRASSOL""",1,"142.000,00",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,RS,"""CEVADA""",1,"34.200,00",3.434,"1.261.439.519,04",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""SOJA""",510,"186.133.991,68",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""TRIGO""",429,"116.750.316,78",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""MILHO""",343,"82.019.108,50",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""ARROZ""",53,"15.706.347,41",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""LARANJA""",26,"11.020.000,00",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""CAFÉ""",13,"5.200.708,48",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""ALGODÃO""",1,"3.000.000,00",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""AVEIA""",7,"2.843.575,39",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",6,"2.040.000,00",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""FEIJÃO""",9,"1.541.390,00",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""UVA""",1,"317.966,00",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,PR,"""CEVADA""",1,"108.000,00",1.399,"426.681.404,24",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,SC,"""ARROZ""",512,"75.764.217,16",674,"149.225.836,34",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,SC,"""SOJA""",82,"47.098.733,53",674,"149.225.836,34",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,SC,"""MILHO""",25,"11.990.997,17",674,"149.225.836,34",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,SC,"""ALHO""",30,"6.501.228,48",674,"149.225.836,34",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,SC,"""TRIGO""",15,"5.929.560,00",674,"149.225.836,34",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,SC,"""FEIJÃO""",5,"1.413.100,00",674,"149.225.836,34",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",5,"528.000,00",674,"149.225.836,34",5.507,"1.837.346.759,62",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""SOJA""",209,"294.168.295,09",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""MILHO""",192,"121.903.437,13",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""ALGODÃO""",32,"29.258.686,00",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""ALHO""",8,"10.005.699,12",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""CAFÉ""",11,"7.553.500,00",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""FEIJÃO""",3,"3.884.488,00",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""ARROZ""",6,"3.291.800,00",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
CENTRO-OESTE,GO,"""TRIGO""",1,"850.000,00",462,"470.915.905,34",1.466,"1.248.516.955,72",7.918,"3.838.623.477,28"
