NOMEREGIAO,NOMEESTADO1,NOMEPRODUTO,Textbox131,Textbox132,Textbox31,Textbox32,Textbox40,Textbox41,Textbox11,Textbox13
SUL,RS,"""SOJA""",67,"529.432.662,12",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""ARROZ""",107,"272.643.624,70",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""TRIGO""",65,"202.726.070,90",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""UVA""",62,"155.789.887,75",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""MILHO""",25,"56.963.694,62",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""CANOLA""",2,"12.000.000,00",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""AVEIA""",8,"11.443.530,40",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""MAÇÃ""",1,"10.000.000,00",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""FEIJÃO""",2,"1.000.000,00",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""LARANJA""",1,"900.000,00",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,RS,"""TRITICALE""",1,"400.000,00",341,"1.253.299.470,49",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""SOJA""",44,"293.884.732,65",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""MILHO""",32,"152.455.705,15",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""TRIGO""",26,"95.201.501,29",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""CANA-DE-AÇUCAR""",1,"50.000.000,00",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""ALGODÃO""",10,"18.074.000,00",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""MANDIOCA (AIPIM, MACAXEIRA)""",7,"16.500.000,00",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""CAFÉ""",10,"16.302.916,27",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""AVEIA""",5,"12.000.000,00",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""ARROZ""",9,"9.479.086,96",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""FEIJÃO""",3,"6.100.000,00",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,PR,"""UVA""",1,"400.000,00",148,"670.397.942,32",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""ARROZ""",57,"232.533.881,55",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""MILHO""",22,"149.999.674,03",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""SOJA""",15,"131.666.300,59",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""TRIGO""",8,"29.407.176,91",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""ALGODÃO""",6,"25.693.983,00",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""MAÇÃ""",4,"23.100.000,00",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""FEIJÃO""",2,"6.000.000,00",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""MANDIOCA (AIPIM, MACAXEIRA)""",5,"4.830.000,00",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUL,SC,"""UVA""",2,"1.150.000,00",121,"604.381.016,08",610,"2.528.078.428,89",846,"3.872.323.297,75"
SUDESTE,SP,"""CANA-DE-AÇUCAR""",5,"139.838.063,33",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""ARROZ""",26,"92.852.025,38",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""MILHO""",14,"64.472.737,09",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""ALGODÃO""",16,"61.957.415,16",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""CEVADA""",3,"29.152.243,91",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""SOJA""",3,"8.300.000,00",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""TRIGO""",4,"5.357.040,53",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""MANDIOCA (AIPIM, MACAXEIRA)""",4,"5.200.000,00",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""TOMATE""",2,"4.153.000,00",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""FEIJÃO""",2,"3.000.000,00",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""MAMONA""",1,"3.000.000,00",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
SUDESTE,SP,"""SORGO""",1,"2.000.000,00",88,"425.847.771,38",151,"823.821.635,62",846,"3.872.323.297,75"
