ANO;MODALIDADE;UF;PRODUTO;QTD
2002;OPÇÃO PÚBLICA;RS;Arroz;552,50
2002;OPÇÃO PÚBLICA;SC;Arroz;59,00
2002;OPÇÃO PÚBLICA;BA;Milho;78,00
2002;OPÇÃO PÚBLICA;DF;Milho;5,70
2002;OPÇÃO PÚBLICA;GO;Milho;832,20
2002;OPÇÃO PÚBLICA;MG;Milho;390,70
2002;OPÇÃO PÚBLICA;MS;Milho;191,40
2002;OPÇÃO PÚBLICA;MT;Milho;87,50
2002;OPÇÃO PÚBLICA;PR;Milho;63,70
2002;OPÇÃO PÚBLICA;RS;Milho;54,00
2002;OPÇÃO PÚBLICA;SC;Milho;20,40
2002;OPÇÃO PÚBLICA;SP;Milho;60,90
2003;OPÇÃO PÚBLICA;GO;Milho;263,60
2003;OPÇÃO PÚBLICA;MG;Milho;44,20
2003;OPÇÃO PÚBLICA;MS;Milho;150,20
2003;OPÇÃO PÚBLICA;MT;Milho;486,80
2003;OPÇÃO PÚBLICA;PR;Milho;698,40
2003;OPÇÃO PÚBLICA;SP;Milho;91,90
2003;OPÇÃO PÚBLICA;GO;SORGO;41,40
2003;OPÇÃO PÚBLICA;MG;SORGO;4,60
2003;OPÇÃO PÚBLICA;MS;SORGO;8,50
2003;OPÇÃO PÚBLICA;MT;SORGO;35,90
2003;OPÇÃO PÚBLICA;PR;SORGO;1,90
2003;OPÇÃO PÚBLICA;SP;SORGO;1,40
2003;OPÇÃO PÚBLICA;MS;TRIGO;1,30
2003;OPÇÃO PÚBLICA;PR;TRIGO;275,60
2003;OPÇÃO PÚBLICA;RS;TRIGO;235,40
2003;OPÇÃO PÚBLICA;SC;TRIGO;5,40
2004;AGF;MT;FEIJAO;0,00
2004;AGF;PR;FEIJAO;4,30
2004;AGF;SC;FEIJAO;7,40
2004;AGF;GO;Milho;25,90
2004;AGF;MS;Milho;1,20
2004;AGF;MT;Milho;72,50
2004;AGF;MS;TRIGO;6,30
2004;AGF;PR;TRIGO;62,70
2004;AGF;RS;TRIGO;103,00
2004;AGF;SC;TRIGO;10,60
2004;PEP;BA;ALGODAO;4,80
2004;PEP;GO;ALGODAO;2,00
2004;PEP;MG;ALGODAO;0,70
2004;PEP;MS;ALGODAO;0,70
2004;PEP;MT;ALGODAO;20,10
2004;PEP;BA;Milho;21,20
2004;PEP;GO;Milho;32,60
2004;PEP;MT;Milho;130,60
2004;PEP;PR;TRIGO;9,70
2004;PEP;RS;TRIGO;176,50
2004;OPÇÃO PÚBLICA;GO;Milho;150,00
