"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Variável"
"Unidade da Federação";"Ano";"Produto das lavouras temporárias e permanentes";"Quantidade produzida (Toneladas)";"Valor da produção (Mil Reais)"
"Rondônia";"2004";"Abacate";"516";"174"
"Rondônia";"2004";"Abacaxi*";"8890";"4408"
"Rondônia";"2004";"Açaí";"...";"..."
"Rondônia";"2004";"Alfafa fenada";"...";"..."
"Rondônia";"2004";"Algodão arbóreo (em caroço)";"-";"-"
"Rondônia";"2004";"Algodão herbáceo (em caroço)";"-";"-"
"Rondônia";"2004";"Alho";"-";"-"
"Rondônia";"2004";"Amendoim (em casca)";"53";"87"
"Rondônia";"2004";"Arroz (em casca)";"186214";"91890"
"Rondônia";"2004";"Aveia (em grão)";"-";"-"
"Rondônia";"2004";"Azeitona";"-";"-"
"Rondônia";"2004";"Banana (cacho)";"56117";"25028"
"Rondônia";"2004";"Batata-doce";"-";"-"
"Rondônia";"2004";"Batata-inglesa";"-";"-"
"Rondônia";"2004";"Borracha (látex coagulado)";"248";"305"
"Rondônia";"2004";"Borracha (látex líquido)";"...";"..."
"Rondônia";"2004";"Cacau (em amêndoa)";"18592";"66546"
"Rondônia";"2004";"Café (em grão) Total";"101676";"175618"
"Rondônia";"2004";"Café (em grão) Arábica";"...";"..."
"Rondônia";"2004";"Café (em grão) Canephora";"...";"..."
"Rondônia";"2004";"Caju";"...";"..."
"Rondônia";"2004";"Cana-de-açúcar";"29651";"1258"
"Rondônia";"2004";"Cana para forragem";"...";"..."
"Rondônia";"2004";"Caqui";"-";"-"
"Rondônia";"2004";"Castanha de caju";"-";"-"
"Rondônia";"2004";"Cebola";"-";"-"
"Rondônia";"2004";"Centeio (em grão)";"-";"-"
"Rondônia";"2004";"Cevada (em grão)";"-";"-"
"Rondônia";"2004";"Chá-da-índia (folha verde)";"-";"-"
"Rondônia";"2004";"Coco-da-baía*";"12819";"6135"
"Rondônia";"2004";"Dendê (cacho de coco)";"-";"-"
"Rondônia";"2004";"Erva-mate (folha verde)";"-";"-"
"Rondônia";"2004";"Ervilha (em grão)";"-";"-"
"Rondônia";"2004";"Fava (em grão)";"-";"-"
"Rondônia";"2004";"Feijão (em grão)";"42295";"37877"
"Rondônia";"2004";"Figo";"-";"-"
"Rondônia";"2004";"Fumo (em folha)";"-";"-"
"Rondônia";"2004";"Girassol (em grão)";"...";"..."
"Rondônia";"2004";"Goiaba";"559";"162"
"Rondônia";"2004";"Guaraná (semente)";"74";"190"
"Rondônia";"2004";"Juta (fibra)";"-";"-"
"Rondônia";"2004";"Laranja";"3975";"1129"
"Rondônia";"2004";"Limão";"1581";"426"
"Rondônia";"2004";"Linho (semente)";"-";"-"
"Rondônia";"2004";"Maçã";"-";"-"
"Rondônia";"2004";"Malva (fibra)";"-";"-"
"Rondônia";"2004";"Mamão";"2905";"970"
"Rondônia";"2004";"Mamona (baga)";"-";"-"
"Rondônia";"2004";"Mandioca";"450839";"58081"
"Rondônia";"2004";"Manga";"2652";"1403"
"Rondônia";"2004";"Maracujá";"1566";"702"
"Rondônia";"2004";"Marmelo";"-";"-"
"Rondônia";"2004";"Melancia";"13103";"2983"
"Rondônia";"2004";"Melão";"-";"-"
"Rondônia";"2004";"Milho (em grão)";"240380";"60903"
"Rondônia";"2004";"Noz (fruto seco)";"-";"-"
"Rondônia";"2004";"Palmito";"1227";"2003"
"Rondônia";"2004";"Pera";"-";"-"
"Rondônia";"2004";"Pêssego";"-";"-"
"Rondônia";"2004";"Pimenta-do-reino";"464";"1846"
"Rondônia";"2004";"Rami (fibra)";"-";"-"
"Rondônia";"2004";"Sisal ou agave (fibra)";"-";"-"
"Rondônia";"2004";"Soja (em grão)";"163029";"106132"
"Rondônia";"2004";"Sorgo (em grão)";"-";"-"
"Rondônia";"2004";"Tangerina";"829";"206"
"Rondônia";"2004";"Tomate";"5845";"2680"
"Rondônia";"2004";"Trigo (em grão)";"-";"-"
"Rondônia";"2004";"Triticale (em grão)";"...";"..."
"Rondônia";"2004";"Tungue (fruto seco)";"-";"-"
"Rondônia";"2004";"Urucum (semente)";"2258";"4853"
"Rondônia";"2004";"Uva";"205";"154"
"Rondônia";"2005";"Abacate";"661";"230"
"Rondônia";"2005";"Abacaxi*";"8930";"4754"
"Rondônia";"2005";"Açaí";"...";"..."
"Rondônia";"2005";"Alfafa fenada";"...";"..."
"Rondônia";"2005";"Algodão arbóreo (em caroço)";"-";"-"
"Rondônia";"2005";"Algodão herbáceo (em caroço)";"-";"-"
"Rondônia";"2005";"Alho";"-";"-"
"Rondônia";"2005";"Amendoim (em casca)";"52";"89"
"Rondônia";"2005";"Arroz (em casca)";"214808";"78910"
"Rondônia";"2005";"Aveia (em grão)";"-";"-"
"Rondônia";"2005";"Azeitona";"-";"-"
"Rondônia";"2005";"Banana (cacho)";"57570";"26735"
"Rondônia";"2005";"Batata-doce";"-";"-"
"Rondônia";"2005";"Batata-inglesa";"-";"-"
"Rondônia";"2005";"Borracha (látex coagulado)";"219";"284"
"Rondônia";"2005";"Borracha (látex líquido)";"...";"..."
"Rondônia";"2005";"Cacau (em amêndoa)";"19719";"70615"
"Rondônia";"2005";"Café (em grão) Total";"107083";"204152"
"Rondônia";"2005";"Café (em grão) Arábica";"...";"..."
"Rondônia";"2005";"Café (em grão) Canephora";"...";"..."
"Rondônia";"2005";"Caju";"...";"..."
"Rondônia";"2005";"Cana-de-açúcar";"49228";"2184"
"Rondônia";"2005";"Cana para forragem";"...";"..."
"Rondônia";"2005";"Caqui";"-";"-"
"Rondônia";"2005";"Castanha de caju";"-";"-"
"Rondônia";"2005";"Cebola";"-";"-"
"Rondônia";"2005";"Centeio (em grão)";"-";"-"
"Rondônia";"2005";"Cevada (em grão)";"-";"-"
"Rondônia";"2005";"Chá-da-índia (folha verde)";"-";"-"
"Rondônia";"2005";"Coco-da-baía*";"12373";"5986"
"Rondônia";"2005";"Dendê (cacho de coco)";"-";"-"
"Rondônia";"2005";"Erva-mate (folha verde)";"-";"-"
"Rondônia";"2005";"Ervilha (em grão)";"-";"-"
"Rondônia";"2005";"Fava (em grão)";"-";"-"
"Rondônia";"2005";"Feijão (em grão)";"33089";"34712"
"Rondônia";"2005";"Figo";"-";"-"
"Rondônia";"2005";"Fumo (em folha)";"-";"-"
"Rondônia";"2005";"Girassol (em grão)";"-";"-"
"Rondônia";"2005";"Goiaba";"612";"177"
"Rondônia";"2005";"Guaraná (semente)";"74";"220"
"Rondônia";"2005";"Juta (fibra)";"-";"-"
"Rondônia";"2005";"Laranja";"4421";"1275"
"Rondônia";"2005";"Limão";"1637";"456"
"Rondônia";"2005";"Linho (semente)";"-";"-"
"Rondônia";"2005";"Maçã";"-";"-"
"Rondônia";"2005";"Malva (fibra)";"-";"-"
"Rondônia";"2005";"Mamão";"3073";"1117"
"Rondônia";"2005";"Mamona (baga)";"-";"-"
"Rondônia";"2005";"Mandioca";"488493";"89853"
"Rondônia";"2005";"Manga";"2432";"1147"
"Rondônia";"2005";"Maracujá";"1631";"788"
"Rondônia";"2005";"Marmelo";"-";"-"
"Rondônia";"2005";"Melancia";"9100";"2258"
"Rondônia";"2005";"Melão";"-";"-"
"Rondônia";"2005";"Milho (em grão)";"245198";"65171"
"Rondônia";"2005";"Noz (fruto seco)";"-";"-"
"Rondônia";"2005";"Palmito";"1295";"2121"
"Rondônia";"2005";"Pera";"-";"-"
"Rondônia";"2005";"Pêssego";"-";"-"
"Rondônia";"2005";"Pimenta-do-reino";"345";"1203"
"Rondônia";"2005";"Rami (fibra)";"-";"-"
"Rondônia";"2005";"Sisal ou agave (fibra)";"-";"-"
"Rondônia";"2005";"Soja (em grão)";"233281";"101477"
"Rondônia";"2005";"Sorgo (em grão)";"-";"-"
"Rondônia";"2005";"Tangerina";"762";"211"
"Rondônia";"2005";"Tomate";"6065";"2879"
"Rondônia";"2005";"Trigo (em grão)";"-";"-"
"Rondônia";"2005";"Triticale (em grão)";"-";"-"
"Rondônia";"2005";"Tungue (fruto seco)";"-";"-"
"Rondônia";"2005";"Urucum (semente)";"2146";"4632"
"Rondônia";"2005";"Uva";"228";"185"
"Rondônia";"2006";"Abacate";"727";"260"
"Rondônia";"2006";"Abacaxi*";"10629";"6085"
"Rondônia";"2006";"Açaí";"...";"..."
"Rondônia";"2006";"Alfafa fenada";"...";"..."
"Rondônia";"2006";"Algodão arbóreo (em caroço)";"-";"-"
"Rondônia";"2006";"Algodão herbáceo (em caroço)";"-";"-"
"Rondônia";"2006";"Alho";"-";"-"
"Rondônia";"2006";"Amendoim (em casca)";"48";"86"
"Rondônia";"2006";"Arroz (em casca)";"141944";"55785"
"Rondônia";"2006";"Aveia (em grão)";"-";"-"
"Rondônia";"2006";"Azeitona";"-";"-"
"Rondônia";"2006";"Banana (cacho)";"46119";"21954"
"Rondônia";"2006";"Batata-doce";"-";"-"
"Rondônia";"2006";"Batata-inglesa";"-";"-"
"Rondônia";"2006";"Borracha (látex coagulado)";"158";"224"
"Rondônia";"2006";"Borracha (látex líquido)";"...";"..."
"Rondônia";"2006";"Cacau (em amêndoa)";"15720";"41186"
"Rondônia";"2006";"Café (em grão) Total";"74558";"157564"
"Rondônia";"2006";"Café (em grão) Arábica";"...";"..."
"Rondônia";"2006";"Café (em grão) Canephora";"...";"..."
"Rondônia";"2006";"Caju";"...";"..."
"Rondônia";"2006";"Cana-de-açúcar";"86870";"4954"
"Rondônia";"2006";"Cana para forragem";"...";"..."
"Rondônia";"2006";"Caqui";"-";"-"
"Rondônia";"2006";"Castanha de caju";"-";"-"
"Rondônia";"2006";"Cebola";"-";"-"
"Rondônia";"2006";"Centeio (em grão)";"-";"-"
"Rondônia";"2006";"Cevada (em grão)";"-";"-"
"Rondônia";"2006";"Chá-da-índia (folha verde)";"-";"-"
"Rondônia";"2006";"Coco-da-baía*";"10578";"5172"
"Rondônia";"2006";"Dendê (cacho de coco)";"-";"-"
"Rondônia";"2006";"Erva-mate (folha verde)";"-";"-"
"Rondônia";"2006";"Ervilha (em grão)";"-";"-"
"Rondônia";"2006";"Fava (em grão)";"-";"-"
"Rondônia";"2006";"Feijão (em grão)";"36621";"39099"
"Rondônia";"2006";"Figo";"-";"-"
"Rondônia";"2006";"Fumo (em folha)";"-";"-"
"Rondônia";"2006";"Girassol (em grão)";"-";"-"
"Rondônia";"2006";"Goiaba";"651";"191"
"Rondônia";"2006";"Guaraná (semente)";"49";"152"
"Rondônia";"2006";"Juta (fibra)";"-";"-"
"Rondônia";"2006";"Laranja";"5866";"1748"
"Rondônia";"2006";"Limão";"1774";"503"
"Rondônia";"2006";"Linho (semente)";"-";"-"
"Rondônia";"2006";"Maçã";"-";"-"
"Rondônia";"2006";"Malva (fibra)";"-";"-"
"Rondônia";"2006";"Mamão";"3673";"1391"
"Rondônia";"2006";"Mamona (baga)";"-";"-"
"Rondônia";"2006";"Mandioca";"503276";"107382"
"Rondônia";"2006";"Manga";"2456";"1172"
"Rondônia";"2006";"Maracujá";"1778";"877"
"Rondônia";"2006";"Marmelo";"-";"-"
"Rondônia";"2006";"Melancia";"13670";"4066"
"Rondônia";"2006";"Melão";"-";"-"
"Rondônia";"2006";"Milho (em grão)";"264430";"70729"
"Rondônia";"2006";"Noz (fruto seco)";"-";"-"
"Rondônia";"2006";"Palmito";"1585";"2635"
"Rondônia";"2006";"Pera";"-";"-"
"Rondônia";"2006";"Pêssego";"-";"-"
"Rondônia";"2006";"Pimenta-do-reino";"293";"1047"
"Rondônia";"2006";"Rami (fibra)";"-";"-"
"Rondônia";"2006";"Sisal ou agave (fibra)";"-";"-"
